# ctmc

210606_120935_140088 :: res_from_gt_ctmc_210605_204049_2_0_210606_110314_grs	log/no_ibt_ctmc_0_46_100_100_MOT/log/CTMC_0_46_100_100/res_from_gt_2_assoc0_iou0_MOT	65.748	62.816	69.341	80.818	69.845	19.000	90.184	1615.000	1610.000	1099384.000	1048664.000	80389.000	68.421	71.73	74.022	76.1	80.284	68.833	95.456	72.772	69.466	14586.000	3.467	90.184	92.365	88.104	968599.000	130785.000	80065.000	80.820	88.103	92.364	1128.000	431.000	56.000	26.687	0.996	968593.000	80071.000	130791.000	0.216	165.556	76.332
210606_120657_746328 :: res_from_gt_ctmc_210605_204049_2_1_210606_110314_grs	log/no_ibt_ctmc_0_46_100_100_MOT/log/CTMC_0_46_100_100/res_from_gt_2_assoc0_iou1_MOT	66.545	63.735	69.996	82.673	69.845	19.000	91.048	1615.000	1605.000	1099384.000	1028275.000	80389.000	68.328	73.053	73.98	77.177	80.355	69.112	94.254	74.204	69.94	14586.000	3.467	91.048	94.196	88.104	968599.000	130785.000	59676.000	82.674	88.103	94.196	1128.000	431.000	56.000	26.687	0.742	968593.000	59682.000	130791.000	0.216	165.556	76.332
210606_120719_702886 :: res_from_gt_ctmc_210605_204049_2_2_210606_110314_grs	log/no_ibt_ctmc_0_46_100_100_MOT/log/CTMC_0_46_100_100/res_from_gt_2_assoc0_iou2_MOT	66.605	63.81	70.038	82.930	69.845	19.000	91.170	1615.000	1604.000	1099384.000	1025446.000	80389.000	68.287	73.211	73.949	77.294	80.382	69.113	94.029	74.37	69.929	14586.000	3.467	91.169	94.456	88.104	968599.000	130785.000	56847.000	82.932	88.103	94.456	1128.000	431.000	56.000	26.687	0.707	968593.000	56853.000	130791.000	0.216	165.556	76.332
210606_120644_227556 :: res_from_gt_ctmc_210605_204049_2_3_210606_110314_grs	log/no_ibt_ctmc_0_46_100_100_MOT/log/CTMC_0_46_100_100/res_from_gt_2_assoc0_iou3_MOT	66.641	63.863	70.054	83.424	69.845	15.000	91.403	1615.000	1603.000	1099384.000	1020017.000	80389.000	68.159	73.463	73.857	77.475	80.45	69.056	93.603	74.634	69.86	14585.000	3.467	91.402	94.959	88.104	968599.000	130785.000	51418.000	83.425	88.103	94.958	1128.000	431.000	56.000	26.687	0.640	968592.000	51425.000	130792.000	0.170	165.545	76.332
210606_120620_362988 :: res_from_gt_ctmc_210605_204049_2_4_210606_110314_grs	log/no_ibt_ctmc_0_46_100_100_MOT/log/CTMC_0_46_100_100/res_from_gt_2_assoc0_iou4_MOT	66.549	63.776	69.945	84.615	69.845	11.000	91.971	1615.000	1602.000	1099384.000	1006923.000	80389.000	67.738	73.958	73.555	77.804	80.633	68.79	92.58	75.154	69.577	14587.000	3.467	91.970	96.194	88.104	968599.000	130785.000	38324.000	84.616	88.103	96.193	1128.000	431.000	56.000	26.687	0.477	968590.000	38333.000	130794.000	0.125	165.568	76.332
210606_120444_399658 :: res_from_gt_ctmc_210605_204049_2_5_210606_110314_grs	log/no_ibt_ctmc_0_46_100_100_MOT/log/CTMC_0_46_100_100/res_from_gt_2_assoc0_iou5_MOT	65.909	63.056	69.361	87.549	69.845	7.000	93.401	1615.000	1597.000	1099384.000	974686.000	80389.000	66.423	74.921	72.621	78.43	81.084	67.835	90.069	76.164	68.6	14583.000	3.467	93.401	99.375	88.104	968599.000	130785.000	6087.000	87.550	88.104	99.375	1128.000	431.000	56.000	26.687	0.076	968599.000	6087.000	130785.000	0.079	165.521	76.333
210606_120008_324387 :: res_from_gt_ctmc_210605_204049_2_6_210606_110314_grs	log/no_ibt_ctmc_0_46_100_100_MOT/log/CTMC_0_46_100_100/res_from_gt_2_assoc0_iou6_MOT	63.289	60.004	67.144	81.237	55.232	7.000	89.648	1615.000	1587.000	1099384.000	893118.000	80389.000	62.384	76.791	69.81	79.618	82.146	64.683	83.754	78.123	65.431	21412.000	5.015	89.648	100.000	81.238	893116.000	206268.000	2.000	81.238	81.238	100.000	892.000	642.000	81.000	39.752	0.000	893116.000	2.000	206268.000	0.086	263.572	78.123
210606_115349_512432 :: res_from_gt_ctmc_210605_204049_2_7_210606_110314_grs	log/no_ibt_ctmc_0_46_100_100_MOT/log/CTMC_0_46_100_100/res_from_gt_2_assoc0_iou7_MOT	55.823	51.019	61.315	65.296	26.687	1.000	79.005	1615.000	1566.000	1099384.000	717858.000	80389.000	52.183	79.917	63.12	81.732	84.225	56.538	70.408	81.382	57.299	35459.000	12.817	79.005	100.000	65.296	717858.000	381526.000	0.000	65.296	65.296	100.000	431.000	977.000	207.000	60.495	0.000	717858.000	0.000	381526.000	0.015	543.047	81.381
210606_114505_267734 :: res_from_gt_ctmc_210605_204049_2_8_210606_110314_grs	log/no_ibt_ctmc_0_46_100_100_MOT/log/CTMC_0_46_100_100/res_from_gt_2_assoc0_iou8_MOT	38.71	31.768	47.257	37.924	4.892	0.000	54.993	1615.000	1507.000	1099384.000	416931.000	80389.000	32.023	84.439	48.045	85.294	87.654	38.887	45.893	86.042	39.488	49546.000	37.895	54.993	100.000	37.924	416931.000	682453.000	0.000	37.924	37.924	100.000	79.000	924.000	612.000	57.214	0.000	416931.000	0.000	682453.000	0.000	1306.453	86.042
210606_113928_312195 :: res_from_gt_ctmc_210605_204049_2_9_210606_110314_grs	log/no_ibt_ctmc_0_46_100_100_MOT/log/CTMC_0_46_100_100/res_from_gt_2_assoc0_iou9_MOT	11.41	6.8296	19.081	7.521	0.000	0.000	13.990	1615.000	1269.000	1099384.000	82687.000	80389.000	6.8332	90.852	19.153	91.157	92.948	11.414	12.531	92.4	11.579	21318.000	93.870	13.990	100.000	7.521	82687.000	1016697.000	0.000	7.521	7.521	100.000	0.000	99.000	1516.000	6.130	0.000	82687.000	0.000	1016697.000	0.000	2834.384	92.401
