210606_162325_489190 :: res_from_gt_diou_ctmc_210606_135010_0_0_210606_141146_x99	log/no_ibt_ctmc_0_46_100_100_MOT/log/CTMC_0_46_100_100/res_from_gt_2_assoc0_diou0_MOT	66.03	63.159	69.585	80.080	74.056	214.000	89.998	1615.000	1610.000	1099384.000	1090578.000	80389.000	69.853	70.417	74.873	75.235	80.001	69.67	97.82	71.368	69.812	11168.000	3.096	90.010	90.362	89.638	985463.000	113921.000	105115.000	80.099	89.649	90.373	1196.000	369.000	50.000	22.848	1.306	985590.000	104988.000	113794.000	2.387	124.574	76.140
210606_162238_629654 :: res_from_gt_diou_ctmc_210606_135010_0_1_210606_141146_x99	log/no_ibt_ctmc_0_46_100_100_MOT/log/CTMC_0_46_100_100/res_from_gt_2_assoc0_diou1_MOT	67.831	65.195	71.128	83.130	76.842	99.000	91.494	1615.000	1606.000	1099384.000	1081704.000	80389.000	70.731	71.887	75.638	76.467	79.932	70.882	98.532	72.979	71.908	9153.000	2.786	91.501	92.241	90.758	997779.000	101605.000	83925.000	83.139	90.766	92.249	1241.000	329.000	45.000	20.372	1.043	997862.000	83842.000	101522.000	1.091	100.842	76.016
210606_162254_077537 :: res_from_gt_diou_ctmc_210606_135010_0_2_210606_141146_x99	log/no_ibt_ctmc_0_46_100_100_MOT/log/CTMC_0_46_100_100/res_from_gt_2_assoc0_diou2_MOT	67.876	65.249	71.163	83.218	76.966	96.000	91.538	1615.000	1606.000	1099384.000	1081640.000	80389.000	70.759	71.92	75.656	76.49	79.932	70.914	98.527	73.015	71.939	9111.000	2.786	91.545	92.289	90.799	998231.000	101153.000	83409.000	83.226	90.806	92.296	1243.000	327.000	45.000	20.248	1.037	998308.000	83332.000	101076.000	1.057	100.335	76.012
210606_162215_644592 :: res_from_gt_diou_ctmc_210606_135010_0_3_210606_141146_x99	log/no_ibt_ctmc_0_46_100_100_MOT/log/CTMC_0_46_100_100/res_from_gt_2_assoc0_diou3_MOT	67.912	65.291	71.193	83.274	77.090	84.000	91.566	1615.000	1606.000	1099384.000	1081571.000	80389.000	70.78	71.946	75.673	76.51	79.929	70.939	98.521	73.042	71.961	9077.000	2.786	91.573	92.321	90.825	998512.000	100872.000	83059.000	83.282	90.831	92.327	1245.000	325.000	45.000	20.124	1.032	998579.000	82992.000	100805.000	0.925	99.933	76.009
210606_162242_499268 :: res_from_gt_diou_ctmc_210606_135010_0_4_210606_141146_x99	log/no_ibt_ctmc_0_46_100_100_MOT/log/CTMC_0_46_100_100/res_from_gt_2_assoc0_diou4_MOT	67.952	65.334	71.23	83.338	77.090	96.000	91.600	1615.000	1606.000	1099384.000	1081504.000	80389.000	70.802	71.973	75.692	76.535	79.929	70.969	98.515	73.07	71.985	9037.000	2.786	91.605	92.357	90.855	998845.000	100539.000	82659.000	83.347	90.860	92.362	1245.000	325.000	45.000	20.124	1.028	998904.000	82600.000	100480.000	1.057	99.460	76.007
210606_162052_737692 :: res_from_gt_diou_ctmc_210606_135010_0_5_210606_141146_x99	log/no_ibt_ctmc_0_46_100_100_MOT/log/CTMC_0_46_100_100/res_from_gt_2_assoc0_diou5_MOT	67.977	65.362	71.252	83.373	77.152	92.000	91.617	1615.000	1605.000	1099384.000	1081476.000	80389.000	70.817	71.989	75.704	76.549	79.927	70.987	98.512	73.087	72	9000.000	2.786	91.623	92.376	90.871	999023.000	100361.000	82453.000	83.381	90.876	92.381	1246.000	324.000	45.000	20.062	1.025	999080.000	82396.000	100304.000	1.012	99.036	76.005
210606_162306_587349 :: res_from_gt_diou_ctmc_210606_135010_0_6_210606_141146_x99	log/no_ibt_ctmc_0_46_100_100_MOT/log/CTMC_0_46_100_100/res_from_gt_2_assoc0_diou6_MOT	68.006	65.394	71.277	83.427	77.214	88.000	91.644	1615.000	1605.000	1099384.000	1081331.000	80389.000	70.83	72.012	75.715	76.57	79.927	71.006	98.5	73.111	72.014	8967.000	2.786	91.649	92.409	90.892	999247.000	100137.000	82084.000	83.435	90.896	92.414	1247.000	323.000	45.000	20.000	1.020	999301.000	82030.000	100083.000	0.968	98.651	76.003
210606_162249_313605 :: res_from_gt_diou_ctmc_210606_135010_0_7_210606_141146_x99	log/no_ibt_ctmc_0_46_100_100_MOT/log/CTMC_0_46_100_100/res_from_gt_2_assoc0_diou7_MOT	68.029	65.42	71.296	83.470	77.214	86.000	91.665	1615.000	1605.000	1099384.000	1081229.000	80389.000	70.841	72.031	75.723	76.585	79.927	71.022	98.491	73.131	72.027	8933.000	2.724	91.670	92.435	90.908	999432.000	99952.000	81797.000	83.478	90.913	92.440	1247.000	324.000	44.000	20.062	1.017	999485.000	81744.000	99899.000	0.946	98.259	76.001
210606_162302_165929 :: res_from_gt_diou_ctmc_210606_135010_0_8_210606_141146_x99	log/no_ibt_ctmc_0_46_100_100_MOT/log/CTMC_0_46_100_100/res_from_gt_2_assoc0_diou8_MOT	68.055	65.452	71.317	83.534	77.276	78.000	91.696	1615.000	1605.000	1099384.000	1081126.000	80389.000	70.856	72.053	75.733	76.601	79.927	71.039	98.482	73.154	72.044	8893.000	2.724	91.702	92.470	90.934	999717.000	99667.000	81409.000	83.541	90.940	92.476	1248.000	323.000	44.000	20.000	1.012	999783.000	81343.000	99601.000	0.858	97.789	75.998
210606_162303_289972 :: res_from_gt_diou_ctmc_210606_135010_0_9_210606_141146_x99	log/no_ibt_ctmc_0_46_100_100_MOT/log/CTMC_0_46_100_100/res_from_gt_2_assoc0_diou9_MOT	68.082	65.483	71.339	83.578	77.399	72.000	91.718	1615.000	1605.000	1099384.000	1081032.000	80389.000	70.87	72.073	75.744	76.618	79.927	71.058	98.474	73.175	72.059	8865.000	2.724	91.723	92.496	90.952	999912.000	99472.000	81120.000	83.584	90.958	92.502	1250.000	321.000	44.000	19.876	1.008	999973.000	81059.000	99411.000	0.792	97.463	75.996
